-0.000036,-0.000086,0.000052
-0.428967,-0.206070,-0.090721
-0.203889,-0.125263,-0.039598
-0.230373,-0.180586,-0.090585
-0.214439,-0.129371,-0.084259
-0.242622,-0.144204,-0.047017
-0.226783,-0.096591,-0.082365
-0.243571,-0.102636,-0.096509
-0.238506,-0.142483,-0.095996
-0.258150,-0.111431,-0.055452
-0.264793,-0.067295,-0.095662
-0.253567,-0.110534,-0.056537
-0.270497,-0.066819,-0.103856
-0.265312,-0.074528,-0.061637
-0.303076,-0.072899,-0.065264
-0.271270,-0.075242,-0.065849
-0.277421,-0.078126,-0.060828
-0.293101,-0.070488,-0.062673
-0.289089,-0.074920,-0.067955
-0.308855,-0.082517,-0.071082
